Server 1: CPU=89.61, Memory=87.37, Latency=49.80
Server 1: CPU=92.65, Memory=37.37, Latency=79.28
Server 1: CPU=56.36, Memory=77.46, Latency=54.65
Server 1: CPU=29.09, Memory=62.26, Latency=67.07
Server 1: CPU=28.48, Memory=80.43, Latency=23.33
Server 1: CPU=30.82, Memory=69.22, Latency=82.88
Server 1: CPU=72.68, Memory=16.05, Latency=59.21
Server 2: CPU=20.42, Memory=49.96, Latency=78.74
Server 1: CPU=10.24, Memory=76.07, Latency=99.17
Server 2: CPU=94.71, Memory=36.71, Latency=74.07
Server 1: CPU=11.28, Memory=82.89, Latency=84.77
Server 2: CPU=46.92, Memory=22.41, Latency=41.76
Server 1: CPU=18.29, Memory=33.18, Latency=90.97
Server 2: CPU=72.93, Memory=51.91, Latency=23.46
Server 1: CPU=67.79, Memory=41.46, Latency=38.77
Server 2: CPU=37.61, Memory=42.30, Latency=1.83
Server 3: CPU=65.73, Memory=33.41, Latency=94.53
Server 1: CPU=0.39, Memory=82.48, Latency=18.88
Server 2: CPU=8.04, Memory=50.43, Latency=92.86
Server 3: CPU=64.37, Memory=1.92, Latency=64.39
Server 1: CPU=66.00, Memory=87.94, Latency=21.53
Server 2: CPU=19.33, Memory=83.25, Latency=18.42
Server 3: CPU=87.00, Memory=26.11, Latency=22.74
Server 1: CPU=23.87, Memory=36.09, Latency=70.96
Server 2: CPU=97.47, Memory=30.24, Latency=13.86
Server 3: CPU=98.51, Memory=5.25, Latency=44.94
Server 1: CPU=55.27, Memory=9.65, Latency=19.26
Server 2: CPU=42.85, Memory=79.03, Latency=54.73
Server 3: CPU=46.30, Memory=68.90, Latency=60.88
Server 1: CPU=12.61, Memory=6.75, Latency=60.25
Server 2: CPU=82.85, Memory=59.75, Latency=44.83
Server 3: CPU=93.92, Memory=61.37, Latency=49.81
Server 1: CPU=60.82, Memory=20.94, Latency=41.58
Server 2: CPU=44.09, Memory=67.70, Latency=57.04
Server 3: CPU=7.67, Memory=55.50, Latency=14.23
Server 1: CPU=61.60, Memory=0.05, Latency=95.19
Server 2: CPU=83.25, Memory=51.55, Latency=48.73
Server 3: CPU=39.40, Memory=69.93, Latency=64.93
Server 1: CPU=29.46, Memory=66.63, Latency=67.78
Server 2: CPU=10.12, Memory=24.14, Latency=50.33
Server 3: CPU=42.17, Memory=10.93, Latency=20.31
Server 1: CPU=30.63, Memory=50.85, Latency=85.26
Server 2: CPU=15.97, Memory=30.27, Latency=78.76
Server 3: CPU=75.67, Memory=5.08, Latency=24.37
Server 1: CPU=90.52, Memory=83.67, Latency=7.27
Server 2: CPU=21.65, Memory=68.24, Latency=46.69
Server 3: CPU=70.45, Memory=65.29, Latency=94.41
Server 1: CPU=36.25, Memory=19.23, Latency=15.89
Server 2: CPU=60.20, Memory=49.26, Latency=43.86
Server 3: CPU=35.99, Memory=27.80, Latency=10.35
Server 1: CPU=24.55, Memory=55.90, Latency=52.51
Server 2: CPU=2.52, Memory=64.21, Latency=63.91
Server 3: CPU=74.54, Memory=95.89, Latency=59.10
Server 1: CPU=30.59, Memory=23.83, Latency=49.74
Server 2: CPU=71.28, Memory=46.33, Latency=42.02
Server 3: CPU=21.98, Memory=79.20, Latency=24.21
Server 1: CPU=14.91, Memory=31.73, Latency=73.92
Server 2: CPU=96.04, Memory=26.02, Latency=85.76
Server 3: CPU=36.75, Memory=8.43, Latency=87.32
Server 1: CPU=97.72, Memory=81.52, Latency=8.02
Server 2: CPU=76.63, Memory=99.99, Latency=69.56
Server 3: CPU=89.98, Memory=13.00, Latency=72.64
Server 1: CPU=8.70, Memory=72.60, Latency=31.05
Server 2: CPU=91.12, Memory=29.07, Latency=51.93
Server 3: CPU=73.17, Memory=25.10, Latency=87.84
Server 1: CPU=85.46, Memory=4.54, Latency=4.44
Server 2: CPU=92.68, Memory=51.22, Latency=70.19
Server 3: CPU=5.12, Memory=49.38, Latency=29.78
Server 1: CPU=55.31, Memory=97.93, Latency=33.11
Server 2: CPU=60.58, Memory=80.82, Latency=45.78
Server 3: CPU=54.49, Memory=31.08, Latency=64.46
Server 1: CPU=31.54, Memory=41.94, Latency=67.62
Server 2: CPU=4.36, Memory=47.98, Latency=90.01
Server 3: CPU=10.06, Memory=97.02, Latency=83.39
Server 1: CPU=29.56, Memory=68.99, Latency=84.27
Server 2: CPU=92.36, Memory=60.33, Latency=83.77
Server 3: CPU=35.03, Memory=49.71, Latency=48.94
Server 1: CPU=22.47, Memory=6.77, Latency=47.52
Server 2: CPU=36.04, Memory=90.65, Latency=98.77
Server 3: CPU=9.97, Memory=15.36, Latency=44.97
Server 1: CPU=4.90, Memory=68.88, Latency=44.08
Server 2: CPU=39.67, Memory=96.99, Latency=64.08
Server 3: CPU=19.42, Memory=69.25, Latency=21.52
Server 1: CPU=6.96, Memory=9.15, Latency=9.10
Server 2: CPU=72.37, Memory=72.99, Latency=55.54
Server 3: CPU=97.27, Memory=9.90, Latency=69.60
Server 1: CPU=81.19, Memory=45.19, Latency=33.08
Server 2: CPU=59.63, Memory=13.37, Latency=13.06
Server 3: CPU=75.25, Memory=6.99, Latency=8.67
Server 1: CPU=36.22, Memory=86.47, Latency=51.66
Server 2: CPU=4.11, Memory=43.08, Latency=85.88
Server 3: CPU=13.75, Memory=42.38, Latency=62.28
Server 1: CPU=15.97, Memory=72.71, Latency=19.30
Server 2: CPU=76.77, Memory=7.32, Latency=67.27
Server 3: CPU=79.68, Memory=46.21, Latency=67.15
Server 1: CPU=13.74, Memory=44.13, Latency=85.39
Server 2: CPU=38.05, Memory=46.29, Latency=83.77
Server 3: CPU=56.00, Memory=34.00, Latency=41.19
Server 1: CPU=72.62, Memory=1.94, Latency=50.35
Server 2: CPU=99.01, Memory=37.80, Latency=34.15
Server 3: CPU=61.38, Memory=23.57, Latency=96.94
Server 1: CPU=50.00, Memory=64.66, Latency=54.76
Server 2: CPU=18.73, Memory=54.32, Latency=4.80
Server 3: CPU=83.05, Memory=68.13, Latency=34.54
Server 1: CPU=11.16, Memory=98.48, Latency=0.48
Server 2: CPU=30.66, Memory=13.34, Latency=3.77
Server 3: CPU=50.47, Memory=32.38, Latency=56.89
Server 1: CPU=52.05, Memory=21.29, Latency=30.22
Server 2: CPU=26.90, Memory=53.51, Latency=16.75
Server 3: CPU=45.40, Memory=2.09, Latency=31.65
Server 1: CPU=75.06, Memory=63.88, Latency=3.69
Server 2: CPU=0.31, Memory=56.77, Latency=4.24
Server 3: CPU=74.14, Memory=75.28, Latency=11.26
Server 1: CPU=56.04, Memory=19.08, Latency=30.69
Server 2: CPU=96.28, Memory=35.44, Latency=72.73
Server 3: CPU=59.68, Memory=53.44, Latency=18.69
Server 1: CPU=1.66, Memory=1.21, Latency=48.62
Server 2: CPU=29.93, Memory=44.68, Latency=50.58
Server 3: CPU=70.91, Memory=80.05, Latency=97.75
Server 1: CPU=79.78, Memory=46.37, Latency=75.67
Server 2: CPU=92.01, Memory=55.63, Latency=63.36
Server 3: CPU=43.24, Memory=80.11, Latency=58.70
Server 1: CPU=11.88, Memory=71.20, Latency=43.75
Server 2: CPU=54.10, Memory=65.77, Latency=76.82
Server 3: CPU=49.70, Memory=59.32, Latency=32.48
Server 1: CPU=25.37, Memory=45.26, Latency=98.80
Server 2: CPU=24.01, Memory=76.37, Latency=63.35
Server 3: CPU=76.35, Memory=22.02, Latency=90.24
Server 1: CPU=37.16, Memory=57.93, Latency=25.66
Server 2: CPU=21.32, Memory=88.47, Latency=7.72
Server 3: CPU=36.01, Memory=32.32, Latency=92.08
Server 1: CPU=62.30, Memory=36.21, Latency=36.67
Server 2: CPU=10.86, Memory=11.60, Latency=54.19
Server 3: CPU=88.38, Memory=50.60, Latency=58.19
Server 1: CPU=1.69, Memory=55.55, Latency=67.03
Server 2: CPU=81.53, Memory=67.39, Latency=33.47
Server 3: CPU=68.07, Memory=42.82, Latency=4.80
Server 1: CPU=75.70, Memory=93.90, Latency=27.83
Server 2: CPU=96.10, Memory=47.75, Latency=24.41
Server 3: CPU=40.03, Memory=92.10, Latency=36.71
Server 1: CPU=59.08, Memory=24.33, Latency=25.48
Server 2: CPU=82.41, Memory=38.13, Latency=23.01
Server 3: CPU=69.38, Memory=31.03, Latency=25.01
Server 4: CPU=39.83, Memory=66.80, Latency=50.23
Server 1: CPU=50.41, Memory=15.47, Latency=87.68
Server 2: CPU=86.66, Memory=25.77, Latency=98.31
Server 3: CPU=79.74, Memory=91.09, Latency=70.30
Server 4: CPU=28.13, Memory=67.03, Latency=84.31
Server 1: CPU=59.73, Memory=37.01, Latency=15.66
Server 2: CPU=87.78, Memory=97.14, Latency=11.98
Server 3: CPU=30.25, Memory=96.98, Latency=26.91
Server 4: CPU=56.58, Memory=66.30, Latency=32.61
Server 1: CPU=61.08, Memory=35.11, Latency=44.12
Server 2: CPU=64.94, Memory=64.25, Latency=82.43
Server 3: CPU=27.94, Memory=70.13, Latency=47.86
Server 4: CPU=14.60, Memory=90.17, Latency=43.74
Server 1: CPU=57.58, Memory=81.39, Latency=15.57
Server 2: CPU=66.30, Memory=98.72, Latency=60.21
Server 3: CPU=12.19, Memory=88.51, Latency=33.51
Server 4: CPU=2.85, Memory=87.02, Latency=79.72
Server 5: CPU=1.56, Memory=11.52, Latency=13.09
Server 1: CPU=62.06, Memory=60.11, Latency=38.49
Server 2: CPU=61.62, Memory=34.99, Latency=14.36
Server 3: CPU=75.07, Memory=97.94, Latency=79.99
Server 4: CPU=9.56, Memory=19.79, Latency=43.32
Server 5: CPU=23.90, Memory=86.77, Latency=93.22
Server 1: CPU=85.80, Memory=30.47, Latency=61.48
Server 2: CPU=97.40, Memory=83.03, Latency=84.63
Server 3: CPU=71.06, Memory=1.38, Latency=37.42
Server 4: CPU=31.70, Memory=50.44, Latency=71.58
Server 5: CPU=39.75, Memory=34.41, Latency=38.29
Server 1: CPU=55.12, Memory=71.16, Latency=14.95
Server 2: CPU=86.06, Memory=67.76, Latency=25.56
Server 3: CPU=56.12, Memory=40.78, Latency=34.01
Server 4: CPU=64.35, Memory=46.00, Latency=99.37
Server 5: CPU=76.47, Memory=43.92, Latency=64.06
Server 1: CPU=86.87, Memory=53.68, Latency=62.32
Server 2: CPU=22.87, Memory=93.79, Latency=1.68
Server 3: CPU=56.33, Memory=99.44, Latency=19.12
Server 4: CPU=42.71, Memory=42.54, Latency=12.85
Server 5: CPU=4.38, Memory=86.74, Latency=36.90
Server 1: CPU=30.80, Memory=11.67, Latency=66.16
Server 2: CPU=5.90, Memory=16.55, Latency=93.75
Server 3: CPU=12.10, Memory=99.71, Latency=60.01
Server 4: CPU=28.11, Memory=2.23, Latency=92.53
Server 5: CPU=72.00, Memory=38.28, Latency=83.82
Server 1: CPU=8.69, Memory=58.92, Latency=5.67
Server 2: CPU=3.73, Memory=44.45, Latency=36.66
Server 3: CPU=83.06, Memory=57.17, Latency=4.80
Server 4: CPU=87.35, Memory=56.78, Latency=1.05
Server 5: CPU=62.25, Memory=10.08, Latency=69.08
Server 1: CPU=64.37, Memory=10.27, Latency=67.61
Server 2: CPU=4.04, Memory=28.20, Latency=28.01
Server 3: CPU=85.41, Memory=61.25, Latency=40.62
Server 4: CPU=94.63, Memory=16.00, Latency=89.65
Server 5: CPU=78.60, Memory=91.95, Latency=42.32
Server 1: CPU=30.73, Memory=67.54, Latency=12.35
Server 2: CPU=56.75, Memory=25.23, Latency=22.25
Server 3: CPU=44.77, Memory=19.44, Latency=70.00
Server 4: CPU=78.22, Memory=46.87, Latency=68.67
Server 5: CPU=73.12, Memory=40.95, Latency=23.21
Server 1: CPU=29.16, Memory=44.34, Latency=93.02
Server 2: CPU=20.68, Memory=39.97, Latency=75.13
Server 3: CPU=63.15, Memory=20.91, Latency=2.55
Server 4: CPU=8.18, Memory=80.14, Latency=56.34
Server 5: CPU=31.69, Memory=69.76, Latency=5.11
Server 1: CPU=2.03, Memory=77.56, Latency=39.71
Server 2: CPU=60.31, Memory=98.12, Latency=74.97
Server 3: CPU=63.99, Memory=50.01, Latency=39.59
Server 4: CPU=68.09, Memory=72.45, Latency=99.46
Server 5: CPU=29.05, Memory=52.75, Latency=50.46
Server 1: CPU=21.70, Memory=26.19, Latency=77.06
Server 2: CPU=27.26, Memory=58.87, Latency=43.20
Server 3: CPU=41.12, Memory=86.31, Latency=34.55
Server 4: CPU=29.03, Memory=41.23, Latency=73.10
Server 5: CPU=96.56, Memory=57.87, Latency=10.83
Server 1: CPU=74.48, Memory=26.30, Latency=86.68
Server 2: CPU=20.69, Memory=70.42, Latency=39.37
Server 3: CPU=75.48, Memory=14.30, Latency=13.59
Server 4: CPU=5.35, Memory=69.82, Latency=70.95
Server 5: CPU=75.33, Memory=69.65, Latency=29.96
Server 1: CPU=8.47, Memory=7.42, Latency=69.21
Server 2: CPU=53.23, Memory=60.50, Latency=8.34
Server 3: CPU=95.87, Memory=77.40, Latency=89.03
Server 4: CPU=49.96, Memory=75.72, Latency=71.25
Server 5: CPU=21.74, Memory=15.98, Latency=1.20
