Server1: CPU=32.90, Memory=67.06, Latency=79.48
Server2: CPU=39.19, Memory=27.70, Latency=16.08
Server3: CPU=28.42, Memory=44.31, Latency=4.64
Server1: CPU=70.56, Memory=29.16, Latency=50.00
Server2: CPU=30.11, Memory=22.72, Latency=88.93
Server3: CPU=36.85, Memory=52.86, Latency=66.51
Server1: CPU=80.08, Memory=98.48, Latency=84.25
Server2: CPU=80.51, Memory=62.57, Latency=36.95
Server3: CPU=18.76, Memory=54.40, Latency=25.09
Server1: CPU=24.72, Memory=74.23, Latency=48.73
Server2: CPU=26.19, Memory=57.83, Latency=54.64
Server3: CPU=98.85, Memory=92.07, Latency=60.81
Server1: CPU=90.39, Memory=48.39, Latency=80.86
Server2: CPU=41.66, Memory=90.30, Latency=24.85
Server3: CPU=54.37, Memory=37.18, Latency=47.73
Server1: CPU=50.74, Memory=8.14, Latency=33.20
Server2: CPU=79.39, Memory=16.99, Latency=97.82
Server3: CPU=92.32, Memory=39.09, Latency=32.64
Server1: CPU=65.91, Memory=72.46, Latency=41.60
Server2: CPU=4.34, Memory=16.60, Latency=73.54
Server3: CPU=51.61, Memory=92.57, Latency=8.50
Server1: CPU=6.89, Memory=41.77, Latency=37.49
Server2: CPU=35.11, Memory=41.93, Latency=0.06
Server3: CPU=46.66, Memory=40.99, Latency=48.49
Server1: CPU=71.97, Memory=89.54, Latency=78.27
Server2: CPU=19.16, Memory=55.39, Latency=48.77
Server3: CPU=42.23, Memory=26.09, Latency=27.53
Server1: CPU=37.57, Memory=37.40, Latency=39.16
Server2: CPU=72.19, Memory=3.76, Latency=16.64
Server3: CPU=8.38, Memory=92.98, Latency=6.31
Server1: CPU=65.19, Memory=23.53, Latency=37.36
Server2: CPU=59.34, Memory=90.54, Latency=57.74
Server3: CPU=97.67, Memory=63.15, Latency=4.23
Server1: CPU=84.49, Memory=34.85, Latency=72.90
Server2: CPU=35.37, Memory=59.50, Latency=75.40
Server3: CPU=45.33, Memory=63.50, Latency=87.65
Server1: CPU=48.02, Memory=77.71, Latency=62.85
Server2: CPU=63.70, Memory=28.27, Latency=33.74
Server3: CPU=81.66, Memory=48.45, Latency=18.69
Server1: CPU=50.09, Memory=0.77, Latency=88.42
Server2: CPU=83.08, Memory=95.52, Latency=46.87
Server3: CPU=28.33, Memory=61.98, Latency=35.29
Server1: CPU=45.58, Memory=10.70, Latency=31.78
Server2: CPU=87.16, Memory=86.76, Latency=4.13
Server3: CPU=34.62, Memory=42.15, Latency=40.53
Server1: CPU=53.31, Memory=98.24, Latency=63.09
Server2: CPU=5.99, Memory=97.27, Latency=85.32
Server3: CPU=67.24, Memory=96.91, Latency=59.74
Server1: CPU=70.78, Memory=8.37, Latency=68.75
Server2: CPU=25.15, Memory=55.53, Latency=31.96
Server3: CPU=48.74, Memory=72.52, Latency=48.35
Server1: CPU=60.01, Memory=61.67, Latency=70.90
Server2: CPU=71.00, Memory=50.90, Latency=35.63
Server3: CPU=31.40, Memory=92.90, Latency=29.88
Server1: CPU=79.33, Memory=74.17, Latency=51.20
Server2: CPU=40.60, Memory=68.35, Latency=88.06
Server3: CPU=61.94, Memory=48.68, Latency=38.51
Server1: CPU=63.09, Memory=53.51, Latency=21.73
Server2: CPU=97.76, Memory=58.20, Latency=83.47
Server3: CPU=87.50, Memory=49.04, Latency=58.65
Server1: CPU=57.62, Memory=2.53, Latency=76.65
Server2: CPU=71.59, Memory=56.26, Latency=47.34
Server3: CPU=85.55, Memory=6.65, Latency=86.80
Server1: CPU=0.92, Memory=99.34, Latency=88.63
Server2: CPU=24.12, Memory=37.37, Latency=16.16
Server3: CPU=54.00, Memory=70.46, Latency=30.53
Server1: CPU=93.79, Memory=89.56, Latency=65.23
Server2: CPU=48.55, Memory=85.43, Latency=82.15
Server3: CPU=1.74, Memory=69.84, Latency=75.85
Server1: CPU=61.63, Memory=62.57, Latency=54.22
Server2: CPU=73.69, Memory=35.65, Latency=68.49
Server3: CPU=58.45, Memory=0.59, Latency=34.73
Server1: CPU=43.70, Memory=1.59, Latency=98.40
Server2: CPU=71.81, Memory=48.14, Latency=62.04
Server3: CPU=0.38, Memory=52.78, Latency=74.58
Server1: CPU=2.24, Memory=35.58, Latency=5.09
Server2: CPU=60.76, Memory=57.72, Latency=61.24
Server3: CPU=69.08, Memory=33.86, Latency=95.81
Server1: CPU=70.56, Memory=38.18, Latency=37.16
Server2: CPU=0.83, Memory=48.88, Latency=2.33
Server3: CPU=84.66, Memory=53.72, Latency=69.21
Server1: CPU=25.29, Memory=9.07, Latency=79.90
Server2: CPU=46.51, Memory=78.69, Latency=20.35
Server3: CPU=12.83, Memory=22.74, Latency=93.74
Server1: CPU=71.73, Memory=48.61, Latency=86.48
Server2: CPU=33.39, Memory=38.12, Latency=47.34
Server3: CPU=40.24, Memory=31.96, Latency=47.75
Server1: CPU=70.72, Memory=16.07, Latency=97.38
Server2: CPU=72.18, Memory=32.18, Latency=5.93
Server3: CPU=21.71, Memory=71.89, Latency=75.63
Server1: CPU=17.22, Memory=0.08, Latency=15.36
Server2: CPU=92.33, Memory=85.55, Latency=14.67
Server3: CPU=37.78, Memory=31.14, Latency=77.23
Server1: CPU=1.28, Memory=82.46, Latency=57.02
Server2: CPU=91.98, Memory=78.96, Latency=72.57
Server3: CPU=65.13, Memory=32.86, Latency=89.85
Server1: CPU=93.93, Memory=63.01, Latency=44.68
Server2: CPU=65.96, Memory=30.49, Latency=92.76
Server3: CPU=35.06, Memory=12.45, Latency=83.36
Server1: CPU=76.09, Memory=82.69, Latency=72.74
Server2: CPU=21.46, Memory=30.82, Latency=6.48
Server3: CPU=19.86, Memory=57.40, Latency=24.96
Server1: CPU=16.07, Memory=0.56, Latency=15.59
Server2: CPU=5.89, Memory=89.28, Latency=43.95
Server3: CPU=61.40, Memory=66.58, Latency=25.52
Server1: CPU=98.55, Memory=22.33, Latency=39.18
Server2: CPU=61.54, Memory=47.46, Latency=79.77
Server3: CPU=68.75, Memory=69.43, Latency=15.20
Server1: CPU=47.76, Memory=30.44, Latency=55.50
Server2: CPU=64.12, Memory=53.52, Latency=55.98
Server3: CPU=38.62, Memory=81.05, Latency=21.14
Server1: CPU=6.88, Memory=49.17, Latency=71.91
Server2: CPU=34.69, Memory=73.21, Latency=59.52
Server3: CPU=91.89, Memory=74.70, Latency=25.42
Server1: CPU=82.04, Memory=5.37, Latency=16.00
Server2: CPU=76.25, Memory=56.61, Latency=90.24
Server3: CPU=68.22, Memory=31.94, Latency=6.27
Server1: CPU=49.86, Memory=86.14, Latency=11.81
Server2: CPU=0.40, Memory=72.31, Latency=76.72
Server3: CPU=93.96, Memory=27.59, Latency=81.74
Server1: CPU=81.74, Memory=0.49, Latency=47.53
Server2: CPU=59.13, Memory=20.94, Latency=70.89
Server3: CPU=60.28, Memory=71.23, Latency=38.73
Server1: CPU=84.20, Memory=4.46, Latency=35.18
Server2: CPU=9.94, Memory=81.67, Latency=71.57
Server3: CPU=64.00, Memory=24.54, Latency=10.26
Server1: CPU=2.65, Memory=83.18, Latency=89.61
Server2: CPU=54.53, Memory=15.82, Latency=82.48
Server3: CPU=57.89, Memory=49.27, Latency=98.11
Server1: CPU=68.43, Memory=16.61, Latency=68.69
Server2: CPU=83.89, Memory=12.95, Latency=47.77
Server3: CPU=69.25, Memory=33.18, Latency=51.39
Server1: CPU=1.56, Memory=22.64, Latency=18.11
Server2: CPU=69.35, Memory=8.26, Latency=13.12
Server3: CPU=23.50, Memory=31.76, Latency=90.89
Server1: CPU=88.97, Memory=68.18, Latency=49.92
Server2: CPU=30.79, Memory=51.95, Latency=58.03
Server3: CPU=52.87, Memory=81.23, Latency=40.28
Server1: CPU=88.51, Memory=27.59, Latency=20.59
Server2: CPU=11.09, Memory=24.97, Latency=19.63
Server3: CPU=85.73, Memory=56.16, Latency=2.23
Server1: CPU=40.18, Memory=28.82, Latency=91.57
Server2: CPU=1.51, Memory=8.74, Latency=96.26
Server3: CPU=45.80, Memory=82.41, Latency=71.49
Server1: CPU=37.16, Memory=33.97, Latency=70.33
Server2: CPU=74.60, Memory=10.71, Latency=46.17
Server3: CPU=25.77, Memory=39.14, Latency=76.39
Server1: CPU=97.04, Memory=50.65, Latency=79.42
Server2: CPU=19.57, Memory=80.43, Latency=19.34
Server3: CPU=30.37, Memory=85.69, Latency=48.34
Server1: CPU=56.84, Memory=1.10, Latency=70.87
Server2: CPU=86.35, Memory=25.45, Latency=51.59
Server3: CPU=44.24, Memory=89.18, Latency=22.35
Server1: CPU=97.34, Memory=57.57, Latency=49.56
Server2: CPU=35.39, Memory=82.94, Latency=31.80
Server3: CPU=61.07, Memory=51.99, Latency=29.54
Server1: CPU=96.69, Memory=1.33, Latency=67.17
Server2: CPU=53.67, Memory=99.83, Latency=6.01
Server3: CPU=90.31, Memory=75.00, Latency=94.21
Server1: CPU=75.60, Memory=78.80, Latency=58.49
Server2: CPU=59.49, Memory=95.91, Latency=73.54
Server3: CPU=15.59, Memory=81.68, Latency=86.03
Server1: CPU=58.41, Memory=73.40, Latency=7.90
Server2: CPU=45.26, Memory=96.48, Latency=75.39
Server3: CPU=28.70, Memory=25.99, Latency=92.75
Server1: CPU=89.53, Memory=18.27, Latency=52.40
Server2: CPU=72.03, Memory=58.87, Latency=52.11
Server3: CPU=72.99, Memory=79.77, Latency=50.56
Server1: CPU=8.14, Memory=91.90, Latency=66.94
Server2: CPU=76.19, Memory=59.88, Latency=77.81
Server3: CPU=72.19, Memory=90.09, Latency=18.14
Server1: CPU=0.89, Memory=52.61, Latency=94.32
Server2: CPU=75.82, Memory=89.60, Latency=78.74
Server3: CPU=30.60, Memory=88.89, Latency=79.88
Server1: CPU=25.16, Memory=58.81, Latency=62.30
Server2: CPU=69.76, Memory=58.50, Latency=42.91
Server3: CPU=26.52, Memory=44.81, Latency=33.11
Server1: CPU=5.90, Memory=58.12, Latency=98.58
Server2: CPU=54.99, Memory=49.65, Latency=32.29
Server3: CPU=85.57, Memory=77.91, Latency=20.49
Server1: CPU=22.51, Memory=26.73, Latency=13.40
Server2: CPU=38.72, Memory=65.59, Latency=92.64
Server3: CPU=68.69, Memory=32.50, Latency=46.49
Server1: CPU=35.16, Memory=46.12, Latency=34.11
Server2: CPU=97.00, Memory=4.10, Latency=59.82
Server3: CPU=73.57, Memory=60.68, Latency=31.83
Server1: CPU=63.63, Memory=43.49, Latency=44.70
